teebenchargs_id,algorithm,threads,relR,relS,matches,phase1Cycles,phase2Cycles,cyclesPerTuple,phase1Time,phase2Time,totalTime,throughput,phase1L3CacheMisses,phase1L3HitRatio,phase1L2CacheMisses,phase1L2HitRatio,phase1IPC,phase1IR,phase1EWB,phase1VoluntaryCS,phase1InvoluntaryCS,phase1UserCpuTime,phase1SystemCpuTime,phase2L3CacheMisses,phase2L3HitRatio,phase2L2CacheMisses,phase2L2HitRatio,phase2IPC,phase2IR,phase2EWB,phase2VoluntaryCS,phase2InvoluntaryCS,phase2UserCpuTime,phase2SystemCpuTime,totalL3CacheMisses,totalL3HitRatio,totalL2CacheMisses,totalL2HitRatio,totalIPC,totalIR,totalEWB,totalVoluntaryCS,totalInvoluntaryCS,totalUserCpuTime,totalSystemCpuTime
3831,HashJoinVersion4,16,1310720,5242880,5242880,3960446718,3814126208,1186,0,0,2281337,2.8727,56333,0.99,6091989,0.40,0.11,1315051064,13520,16463,68,1074609,2571240,12103,1.00,4208107,0.35,0.16,272808484,0,16488,17,944270,583995,70428,0.99,10324392,0.38,0.11,1591631880,14624,32951,133,2019421,3159074
3832,HashJoinVersion3,1,1310720,5242880,5242880,580233372,100294134,103,0,0,199691,32.8187,36438,0.89,490892,0.70,0.11,131355843,12768,0,16,51740,116031,854,0.92,12155,0.32,0.01,1796750,48,0,16,28382,1756,39664,0.89,523758,0.69,0.10,136619389,13824,0,80,80336,119808
3833,HashJoinVersion3,1,1310720,5242880,5242880,578917642,99155408,103,0,0,198972,32.9373,35982,0.89,488607,0.69,0.11,131349958,12816,0,17,51972,115633,890,0.92,11536,0.30,0.01,1559484,0,0,16,29835,0,39261,0.89,520191,0.68,0.10,136341045,13824,0,81,82743,116837
3834,HashJoinVersion3,1,1310720,5242880,5242880,579602450,99369482,103,0,0,199236,32.8937,36430,0.88,456737,0.72,0.11,131235435,12816,0,16,76024,91620,370,0.96,9963,0.29,0.01,1377323,0,0,16,29903,0,39103,0.88,487360,0.70,0.10,136059284,13824,0,80,106879,92910
3835,HashJoinVersion3,1,1310720,5242880,5242880,587023322,98932732,104,0,0,201285,32.5588,36527,0.89,488517,0.71,0.11,131425619,12816,1,17,64295,105480,698,0.94,11595,0.31,0.01,1527668,0,0,16,27833,1947,39433,0.89,521242,0.70,0.10,136457806,13824,1,81,92321,109467
3836,HashJoinVersion3,1,1310720,5242880,5242880,605950732,99749596,107,0,0,207078,31.6480,40343,0.87,448834,0.75,0.11,130708422,12816,0,17,59901,115415,815,0.92,11007,0.34,0.01,1612125,0,0,16,27800,2154,43369,0.88,480227,0.74,0.10,135784574,13824,0,81,87905,119570
3837,HashJoinVersion3,1,1310720,5242880,5242880,580653088,99431872,103,0,0,199562,32.8399,35102,0.89,467415,0.72,0.11,131535536,12816,0,16,43514,124490,1014,0.92,13635,0.32,0.01,1825450,0,0,16,28268,1648,38404,0.89,502924,0.70,0.10,136955918,13776,0,80,72000,128115
3838,HashJoinVersion3,1,1310720,5242880,5242880,579171384,99992170,103,0,0,199292,32.8844,35958,0.89,484397,0.70,0.11,131673704,12768,0,17,67954,99488,1144,0.91,13813,0.33,0.01,2013954,48,0,16,28388,1699,40096,0.89,520853,0.69,0.10,137463240,13824,0,81,96698,103023
3839,HashJoinVersion3,1,1310720,5242880,5242880,601048370,103014546,107,0,0,206599,31.7214,147925,0.78,802108,0.73,1.30,2639319868,12768,0,16,63774,110344,4445,0.84,27586,0.76,1.78,533051498,48,0,16,27854,3066,156045,0.78,852487,0.73,1.36,3202298652,13824,0,80,91944,115105
3840,HashJoinVersion3,1,1310720,5242880,5242880,593013808,99908860,105,0,0,203329,32.2315,38689,0.88,490815,0.72,0.11,131386838,12816,0,16,50187,121357,719,0.93,10634,0.31,0.01,1460936,0,0,16,28310,1766,41793,0.88,523289,0.71,0.10,136396809,13776,0,80,80114,123812
3841,HashJoinVersion3,1,1310720,5242880,5242880,589232308,99904118,105,0,0,202218,32.4086,37242,0.88,460890,0.74,0.11,130831085,12816,1,17,63940,106544,733,0.94,11893,0.29,0.01,1501982,0,0,16,30047,0,40418,0.89,493872,0.73,0.10,135823041,13776,1,81,94920,107826
3842,HashJoinVersion3,1,1310720,5242880,5242880,607249104,99928584,107,0,0,207512,31.5818,40887,0.89,487132,0.73,0.11,131049732,12816,0,16,79960,95755,684,0.94,11516,0.30,0.01,1500296,0,0,16,30073,0,43865,0.89,519170,0.72,0.10,135997451,13776,0,80,111013,97049
3843,HashJoinVersion3,1,1310720,5242880,5242880,602566792,99442344,107,0,0,205995,31.8144,39258,0.87,445118,0.75,0.11,130845245,12816,0,17,75963,98421,483,0.96,11172,0.30,0.01,1463961,0,0,16,29955,0,41700,0.88,477067,0.74,0.10,135767837,13776,0,81,106880,99742
3844,HashJoinVersion3,1,1310720,5242880,5242880,586119942,100466732,104,0,0,201469,32.5291,36857,0.89,502620,0.68,0.11,130862872,12768,1,18,63659,105899,827,0.92,11364,0.36,0.01,1862491,48,0,16,28387,1844,39965,0.89,535425,0.67,0.10,136322043,13824,1,82,92403,109654
3845,HashJoinVersion3,1,1310720,5242880,5242880,603748150,100334438,107,0,0,206603,31.7207,38580,0.88,480802,0.73,0.11,130671536,12816,0,17,75897,98805,901,0.93,14348,0.29,0.01,1705021,0,0,16,30171,0,41828,0.89,515650,0.72,0.10,135825138,13776,0,81,106990,100116
3846,HashJoinVersion3,1,1310720,5242880,5242880,600791388,100495378,107,0,0,205783,31.8471,39898,0.88,458175,0.75,0.11,130527448,12768,1,18,60283,113448,792,0.92,11106,0.33,0.01,1750348,48,0,16,30215,0,43007,0.88,490595,0.74,0.10,135823933,13824,1,82,92120,114081
3847,HashJoinVersion3,1,1310720,5242880,5242880,602077204,99957134,107,0,0,206002,31.8133,39092,0.88,456749,0.75,0.11,131056531,12816,1,17,60341,113833,640,0.95,13008,0.29,0.01,1606828,0,0,16,28374,1698,42007,0.88,491523,0.74,0.10,136200962,13824,1,81,89094,117386
3848,HashJoinVersion2,1,1310720,5242880,5242880,491502994,546805464,158,0,0,304672,21.5103,4795,0.79,24102,0.24,0.00,2476617,0,0,17,142491,0,7902,0.69,26968,0.30,0.00,3153235,0,0,17,158362,0,16227,0.77,71729,0.27,0.01,9117441,9216,0,82,303019,645
3849,HashJoinVersion2,1,1310720,5242880,5242880,487546520,600176356,165,0,0,319172,20.5331,3926,0.79,19464,0.24,0.00,2011396,0,0,16,140462,863,9319,0.59,23713,0.25,0.00,2389347,0,0,16,174301,0,16933,0.73,64132,0.24,0.01,7869294,9168,0,80,316016,2136
3850,HashJoinVersion2,1,1310720,5242880,5242880,492925112,542692542,158,0,0,303882,21.5663,5059,0.77,23096,0.28,0.00,2690954,0,0,16,142882,0,5906,0.70,20500,0.27,0.00,2284763,0,0,16,157409,0,14440,0.77,65616,0.28,0.01,8544200,9216,0,80,302201,660
3851,HashJoinVersion2,1,1310720,5242880,5242880,493183034,566735154,161,0,0,311013,21.0718,4581,0.82,27706,0.27,0.00,3010541,0,0,16,140872,2120,7737,0.64,21915,0.25,0.00,2188991,0,0,16,160616,3628,15756,0.77,71721,0.26,0.01,8764446,9216,0,80,301951,8029
3852,HashJoinVersion2,1,1310720,5242880,5242880,490362428,585576706,164,0,0,315714,20.7580,5063,0.76,22813,0.28,0.00,2505565,0,0,16,140836,1344,10031,0.59,25282,0.25,0.00,2384761,0,0,17,169995,0,18443,0.72,68772,0.26,0.01,8393592,9168,0,81,311885,2811
3853,HashJoinVersion2,1,1310720,5242880,5242880,496903246,590401680,165,0,0,319048,20.5411,5924,0.78,29133,0.28,0.00,3183394,0,0,16,143645,362,10601,0.59,26778,0.27,0.00,3519500,0,0,17,168141,3079,19792,0.73,77381,0.27,0.01,10217026,9216,0,81,312981,4979
3854,HashJoinVersion2,1,1310720,5242880,5242880,491308532,608211446,167,0,0,322632,20.3129,5452,0.79,26570,0.27,0.00,3496635,0,0,16,142386,0,8032,0.64,22890,0.26,0.00,2299195,0,0,16,175184,1436,16930,0.76,71701,0.26,0.01,9344806,9216,0,80,319346,2245
3855,HashJoinVersion2,1,1310720,5242880,5242880,487180380,607459930,167,0,0,321202,20.4034,3916,0.80,20275,0.26,0.00,2203324,0,0,17,141213,0,9840,0.58,24463,0.27,0.00,2725510,0,0,16,176422,0,17351,0.73,65463,0.26,0.01,8385683,9168,0,81,319537,644
3856,HashJoinVersion2,1,1310720,5242880,5242880,486426780,542359786,156,0,0,301877,21.7095,3368,0.81,18121,0.25,0.00,2056520,0,0,16,139892,1151,6122,0.67,19438,0.25,0.00,2145991,0,0,16,156551,713,13107,0.77,59226,0.25,0.01,7780306,9168,0,80,296839,4089
3857,HashJoinVersion2,1,1310720,5242880,5242880,491160694,617499124,169,0,0,325315,20.1454,4155,0.77,19037,0.26,0.00,2274162,0,0,16,140649,1653,12289,0.55,28529,0.27,0.00,2965625,0,0,17,177128,1962,19856,0.70,69000,0.27,0.01,8750220,9216,0,81,318336,5895
3858,HashJoinVersion2,1,1310720,5242880,5242880,490165730,594263064,165,0,0,318205,20.5955,4667,0.78,22272,0.26,0.00,2301811,0,0,16,140658,1456,12620,0.62,34923,0.25,0.00,3423832,0,0,17,172219,0,20694,0.73,79479,0.25,0.01,9285652,9168,0,81,313681,3464
